set_number,name,year_released,number_of_parts,image_url,theme_name
603-2,1:87 Citroën DS 19,1965,1,https://cdn.rebrickable.com/media/sets/603-2.jpg,HO 1:87 Vehicles
605-3,1:87 Fiat 1800,1965,1,https://cdn.rebrickable.com/media/sets/605-3.jpg,HO 1:87 Vehicles
607-2,1:87 VW Samba Bus,1965,1,https://cdn.rebrickable.com/media/sets/607-2.jpg,HO 1:87 Vehicles
662-2,1:87 Opel Rekord,1965,1,https://cdn.rebrickable.com/media/sets/662-2.jpg,HO 1:87 Vehicles
799-2,Giant Base Plate,1965,1,https://cdn.rebrickable.com/media/sets/799-2.jpg,Supplemental
90-2,Educational Box - Empty,1965,1,https://cdn.rebrickable.com/media/sets/90-2.jpg,Classic
002-1,4.5V Samsonite Gears Motor Set,1965,3,https://cdn.rebrickable.com/media/sets/002-1.jpg,Technic
699-2,1:87 8 Trucks,1965,14,https://cdn.rebrickable.com/media/sets/699-2.jpg,HO 1:87 Vehicles
005-1,Basic Building Set in Cardboard,1965,35,https://cdn.rebrickable.com/media/sets/005-1.jpg,Basic Set
409-1,38 Slimbricks Assorted Sizes (The Building Toy),1965,38,https://cdn.rebrickable.com/media/sets/409-1.jpg,Supplemental
509-1,38 Slimbricks Assorted Sizes,1965,38,https://cdn.rebrickable.com/media/sets/509-1.jpg,Supplemental
001-1,Gears,1965,43,https://cdn.rebrickable.com/media/sets/001-1.jpg,Technic
510-2,Tiles,1965,52,https://cdn.rebrickable.com/media/sets/510-2.jpg,Supplemental
010-1,Basic Building Set in Cardboard,1965,57,https://cdn.rebrickable.com/media/sets/010-1.jpg,Basic Set
326-1,Small Cottage,1965,63,https://cdn.rebrickable.com/media/sets/326-1.jpg,Building
319-1,Truck with Trailer,1965,74,https://cdn.rebrickable.com/media/sets/319-1.jpg,Vehicle
320-2,Two-Engine Airplane,1965,120,https://cdn.rebrickable.com/media/sets/320-2.jpg,Vehicle
DATABASE-1,Unused Parts Database Set - Pre-1965,1965,189,https://cdn.rebrickable.com/media/sets/database-1.jpg,Database Sets
321-1,Clowns,1965,223,https://cdn.rebrickable.com/media/sets/321-1.jpg,Basic Set
610-3,Super Wheel Toy Set,1965,304,https://cdn.rebrickable.com/media/sets/610-3.jpg,Vehicle
820-2,"Wooden Storage Box Large (Double Latch) with Contents, with Lattice",1966,0,https://cdn.rebrickable.com/media/sets/820-2.jpg,System
695-2,1:87 6 European Cars,1966,0,https://cdn.rebrickable.com/media/sets/695-2.jpg,HO 1:87 Vehicles
696-2,1:87 6 Passenger Cars,1966,0,https://cdn.rebrickable.com/media/sets/696-2.jpg,HO 1:87 Vehicles
426-1,7 Named Beams (The Building Toy),1966,0,https://cdn.rebrickable.com/media/sets/426-1.jpg,Supplemental
461-1,"Windows and Doors, Retailer Pack",1966,0,https://cdn.rebrickable.com/media/sets/461-1.jpg,Supplemental
239-1,Wir bauen mit Lego Idea Book,1966,0,https://cdn.rebrickable.com/media/sets/239-1.jpg,Books
b66de-01,LEGO Motor Eisenbahn,1966,0,https://cdn.rebrickable.com/media/sets/b66de-01.jpg,Books
101-3,4.5V Battery Case,1966,1,https://cdn.rebrickable.com/media/sets/101-3.jpg,4.5V
601-3,1:87 Morris 1100,1966,1,https://cdn.rebrickable.com/media/sets/601-3.jpg,HO 1:87 Vehicles
649-2,1:87 Mercedes Shell Tanker,1966,1,https://cdn.rebrickable.com/media/sets/649-2.jpg,HO 1:87 Vehicles
700-1,10 x 20 Brickplate,1966,1,https://cdn.rebrickable.com/media/sets/700-1.jpg,Supplemental
710-2,Lockable Storage Case,1966,1,https://cdn.rebrickable.com/media/sets/710-2.jpg,Storage
435-2,Garage Plate and Door (The Building Toy),1966,3,https://cdn.rebrickable.com/media/sets/435-2.jpg,Supplemental
445-2,Lighting Device Pack (The Building Toy),1966,3,https://cdn.rebrickable.com/media/sets/445-2.jpg,Supplemental
429-1,4 Plates 6 x 8 (The Building Toy),1966,4,https://cdn.rebrickable.com/media/sets/429-1.jpg,Supplemental
485-2,Lighting Brick (System),1966,4,https://cdn.rebrickable.com/media/sets/485-2.jpg,Supplemental
061-1,Five Large Base Plates - Green,1966,5,https://cdn.rebrickable.com/media/sets/061-1.jpg,Supplemental
062-1,Five Large Base Plates - White,1966,5,https://cdn.rebrickable.com/media/sets/062-1.jpg,Supplemental
063-1,Five Large Base Plates - Blue,1966,5,https://cdn.rebrickable.com/media/sets/063-1.jpg,Supplemental
402-3,White Turntables,1966,5,https://cdn.rebrickable.com/media/sets/402-3.jpg,Supplemental
417-3,Cornerbricks (The Building Toy),1966,5,https://cdn.rebrickable.com/media/sets/417-3.jpg,Supplemental
428-1,5 Plates 4 x 8 (The Building Toy),1966,5,https://cdn.rebrickable.com/media/sets/428-1.jpg,Supplemental
416-1,4 Sixteens 2 Twenties (The Building Toy),1966,6,https://cdn.rebrickable.com/media/sets/416-1.jpg,Supplemental
430-2,Six Trees and Bushes (The Building Toy),1966,6,https://cdn.rebrickable.com/media/sets/430-2.jpg,Supplemental
433-1,6 Street Lamps with Curved Top (The Building Toy),1966,6,https://cdn.rebrickable.com/media/sets/433-1.jpg,Supplemental
451-1,"1 x 6 x 3 Window, Red or White",1966,6,https://cdn.rebrickable.com/media/sets/451-1.jpg,Supplemental
464-1,"6 x 8 Plates, White",1966,6,https://cdn.rebrickable.com/media/sets/464-1.jpg,Supplemental
401-2,Large Wheels with Axles (The Building Toy),1966,7,https://cdn.rebrickable.com/media/sets/401-2.jpg,Supplemental
427-1,8 Plates 2 x 8 (The Building Toy),1966,8,https://cdn.rebrickable.com/media/sets/427-1.jpg,Supplemental
432-1,Road Signs (The Building Toy),1966,8,https://cdn.rebrickable.com/media/sets/432-1.jpg,Supplemental
452-2,"1 x 6 x 2 Window, Red or White",1966,8,https://cdn.rebrickable.com/media/sets/452-2.jpg,Supplemental
453-2,"1 x 6 x 2 Shuttered Windows, Red or White",1966,8,https://cdn.rebrickable.com/media/sets/453-2.jpg,Supplemental
463-1,"4 x 8 Plates, White",1966,8,https://cdn.rebrickable.com/media/sets/463-1.jpg,Supplemental
492-2,Nordic and American Flags,1966,8,https://cdn.rebrickable.com/media/sets/492-2.jpg,Supplemental
493-2,European Flags,1966,8,https://cdn.rebrickable.com/media/sets/493-2.jpg,Supplemental
042-1,Jumbo Brick Pull Toy,1966,9,https://cdn.rebrickable.com/media/sets/042-1.jpg,Jumbo Bricks
501-3,JUMBO Pull Toy,1966,9,https://cdn.rebrickable.com/media/sets/501-3.jpg,Jumbo Bricks
415-1,5 Sixteens and 4 Twenties (System),1966,9,https://cdn.rebrickable.com/media/sets/415-1.jpg,Supplemental
454-2,"1 x 4 x 2 Window, Red or White",1966,9,https://cdn.rebrickable.com/media/sets/454-2.jpg,Supplemental
490-2,Trees and Bushes,1966,9,https://cdn.rebrickable.com/media/sets/490-2.jpg,Supplemental
414-3,"Windows Parts Pack, Red (The Building Toy)",1966,10,https://cdn.rebrickable.com/media/sets/414-3.jpg,Supplemental
414-4,"Windows Parts Pack, White (The Building Toy)",1966,10,https://cdn.rebrickable.com/media/sets/414-4.jpg,Supplemental
414-5,"Windows Parts Pack, Red (System)",1966,10,https://cdn.rebrickable.com/media/sets/414-5.jpg,Supplemental
414-6,"Windows Parts Pack, White (System)",1966,10,https://cdn.rebrickable.com/media/sets/414-6.jpg,Supplemental
417-4,Cornerbricks (System),1966,10,https://cdn.rebrickable.com/media/sets/417-4.jpg,Supplemental
698-2,1:87 12 Cars,1966,12,https://cdn.rebrickable.com/media/sets/698-2.jpg,HO 1:87 Vehicles
400-3,Small Wheels with Axles (The Building Toy),1966,12,https://cdn.rebrickable.com/media/sets/400-3.jpg,Supplemental
403-3,Train Couplers and Wheels (System),1966,12,https://cdn.rebrickable.com/media/sets/403-3.jpg,Supplemental
455-2,"1 x 3 x 2 Window, Red or White",1966,12,https://cdn.rebrickable.com/media/sets/455-2.jpg,Supplemental
418-2,2 x 4 Bricks (The Building Toy),1966,13,https://cdn.rebrickable.com/media/sets/418-2.jpg,Supplemental
431-1,Gas Station (The Building Toy),1966,13,https://cdn.rebrickable.com/media/sets/431-1.jpg,Supplemental
460-2,"1 x 2 x 3 Doors Refill, Red or White",1966,13,https://cdn.rebrickable.com/media/sets/460-2.jpg,Supplemental
491-2,"Shell Station Brick and Sign, 6 Named Beams",1966,13,https://cdn.rebrickable.com/media/sets/491-2.jpg,Supplemental
DBASE-2,Database Set for Set 426-1,1966,13,https://cdn.rebrickable.com/media/sets/dbase-2.jpg,Database Sets
480-4,"Slopes and Slopes Double 2 x 4, Red (The Building Toy)",1966,14,https://cdn.rebrickable.com/media/sets/480-4.jpg,Supplemental
480-5,"Slopes and Slopes Double 2 x 4, Blue (The Building Toy)",1966,14,https://cdn.rebrickable.com/media/sets/480-5.jpg,Supplemental
489-1,Traffic Signs,1966,14,https://cdn.rebrickable.com/media/sets/489-1.jpg,Supplemental
DBASE-1,Database Set for Set 491-2,1966,14,https://cdn.rebrickable.com/media/sets/dbase-1.jpg,Database Sets
153-1,Large Train Wagon,1966,15,https://cdn.rebrickable.com/media/sets/153-1.jpg,4.5V
060-1,Assorted White Plates,1966,15,https://cdn.rebrickable.com/media/sets/060-1.jpg,Supplemental
